selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,brand,date,rotational_speed
1090000,151000,Diesel,Dealer,Manual,1.0,13.5,2477.0,175.56,400.0,7.0,Mitsubishi,8,2250.0
600000,54700,Diesel,Dealer,Manual,1.0,26.0,1498.0,98.6,200.0,5.0,Honda,6,1750.0
850000,64000,Petrol,Dealer,Manual,1.0,20.65,1462.0,103.25,138.0,5.0,Maruti,3,4400.0
525000,63000,Diesel,Dealer,Manual,1.0,27.3,1498.0,98.6,200.0,5.0,Honda,6,1750.0
1650000,127700,Diesel,Dealer,Automatic,2.0,11.36,2755.0,171.5,360.0,7.0,Toyota,5,2300.0
950000,99000,Diesel,Dealer,Manual,1.0,12.99,2494.0,100.6,200.0,7.0,Toyota,5,2400.0
1750000,33900,Diesel,Dealer,Automatic,2.0,17.68,1968.0,174.33,380.0,5.0,Audi,8,2125.0
1590000,25000,Petrol,Dealer,Automatic,1.0,14.28,1798.0,138.03,173.0,5.0,Toyota,3,4000.0
1689999,50000,Diesel,Dealer,Automatic,1.0,18.53,1968.0,187.74,400.0,5.0,Audi,8,2375.0
1425000,59000,Diesel,Dealer,Automatic,1.0,14.84,2143.0,170.0,400.0,5.0,Mercedes-Benz,8,2100.0
265000,120000,Diesel,Individual,Manual,1.0,21.12,1248.0,88.8,200.0,5.0,Tata,10,2375.0
190000,110000,Petrol,Individual,Manual,3.0,20.36,1197.0,78.9,111.7,5.0,Hyundai,10,4000.0
425000,60000,Diesel,Individual,Manual,1.0,21.27,1396.0,88.76,219.6,5.0,Hyundai,8,2125.0
630000,147000,Diesel,Individual,Manual,2.0,26.59,1248.0,74.0,190.0,5.0,Maruti,6,2000.0
600000,25000,Petrol,Individual,Manual,3.0,18.16,1196.0,86.8,112.0,5.0,Ford,4,4000.0
650000,30000,Petrol,Individual,Manual,1.0,21.4,1197.0,83.1,115.0,5.0,Maruti,2,4000.0
540000,40000,Diesel,Individual,Manual,1.0,22.0,1498.0,108.495,250.0,5.0,Volkswagen,5,2250.0
630000,135000,Diesel,Individual,Manual,1.0,25.1,1498.0,98.6,200.0,5.0,Honda,6,1750.0
448000,30000,Petrol,Individual,Automatic,1.0,20.51,998.0,67.0,90.0,5.0,Maruti,3,3500.0
500000,80000,Diesel,Individual,Manual,1.0,21.66,1498.0,108.62,250.0,5.0,Volkswagen,4,2250.0
745000,70000,Diesel,Individual,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,5,1750.0
1025000,9850,Diesel,Individual,Automatic,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,2,1750.0
235000,60000,Petrol,Individual,Manual,2.0,20.36,1197.0,78.9,111.7,5.0,Hyundai,10,4000.0
630000,70000,Diesel,Individual,Manual,1.0,25.2,1248.0,74.0,190.0,5.0,Maruti,5,2000.0
1700000,78000,Diesel,Individual,Manual,2.0,12.55,2982.0,168.5,343.0,7.0,Toyota,6,2400.0
450000,120000,Diesel,Individual,Manual,2.0,22.9,1248.0,74.0,190.0,5.0,Maruti,8,2000.0
450000,120000,Petrol,Individual,Manual,2.0,16.02,1373.0,93.7,130.0,7.0,Maruti,9,4000.0
50000,70000,Diesel,Individual,Manual,1.0,19.7,1248.0,74.0,190.0,5.0,Tata,18,3500.0
450000,170000,Diesel,Individual,Manual,1.0,20.54,1598.0,103.6,250.0,5.0,Volkswagen,8,2000.0
1200000,140000,Diesel,Individual,Manual,1.0,12.99,2494.0,100.6,200.0,8.0,Toyota,5,2400.0
610000,90000,Diesel,Individual,Manual,1.0,22.77,1498.0,98.59,205.0,5.0,Ford,6,2500.0
2500000,30000,Petrol,Individual,Automatic,2.0,15.71,1998.0,189.0,280.0,5.0,BMW,5,2975.0
484999,10000,Petrol,Dealer,Manual,1.0,23.1,998.0,67.04,90.0,5.0,Maruti,4,3500.0
275000,49000,Petrol,Dealer,Manual,1.0,19.02,1198.0,67.05,104.0,5.0,Datsun,5,4000.0
315000,32000,Petrol,Dealer,Manual,1.0,24.7,796.0,47.3,69.0,5.0,Maruti,5,3500.0
275000,38000,Petrol,Dealer,Manual,1.0,24.7,796.0,47.3,69.0,5.0,Maruti,5,3500.0
475000,78000,Diesel,Dealer,Manual,1.0,19.7,1248.0,74.0,190.0,5.0,Maruti,6,3500.0
290000,28000,Petrol,Dealer,Manual,1.0,19.81,1086.0,68.05,99.04,5.0,Hyundai,9,4500.0
280000,32000,Petrol,Dealer,Manual,1.0,14.0,796.0,35.0,59.8,5.0,Maruti,4,3000.0
225000,44000,LPG,Dealer,Manual,1.0,26.2,998.0,58.2,77.0,5.0,Maruti,11,3500.0
455000,42000,Petrol,Dealer,Manual,1.0,16.47,1198.0,74.0,110.0,5.0,Volkswagen,6,3750.0
351000,45000,Petrol,Dealer,Manual,2.0,19.81,1086.0,68.05,99.04,5.0,Hyundai,6,4500.0
535000,12000,Petrol,Dealer,Manual,2.0,15.04,1598.0,103.6,153.0,5.0,Volkswagen,9,3800.0
175000,55500,Petrol,Dealer,Manual,1.0,18.2,998.0,67.1,90.0,5.0,Maruti,12,3500.0
525000,61500,Petrol,Dealer,Manual,1.0,18.5,1197.0,82.85,113.7,5.0,Hyundai,8,4000.0
600000,150000,Diesel,Individual,Manual,1.0,26.59,1248.0,74.0,190.0,5.0,Maruti,5,2000.0
565000,72000,Petrol,Dealer,Automatic,1.0,19.1,1197.0,82.0,114.0,5.0,Hyundai,5,4000.0
120000,68000,Petrol,Dealer,Manual,3.0,19.7,796.0,46.3,62.0,5.0,Maruti,13,3000.0
725000,110000,Diesel,Individual,Manual,1.0,22.54,1396.0,88.73,219.7,5.0,Hyundai,4,2125.0
185000,77000,Petrol,Dealer,Manual,2.0,21.79,998.0,67.05,90.0,5.0,Maruti,12,3500.0
200000,100000,Diesel,Individual,Manual,2.0,18.8,1248.0,90.0,200.0,5.0,Tata,11,2375.0
615000,10000,Petrol,Individual,Manual,1.0,21.21,1197.0,81.8,113.0,5.0,Maruti,2,4200.0
270000,100000,Petrol,Individual,Manual,3.0,15.37,1196.0,73.0,101.0,7.0,Maruti,5,3000.0
610000,35000,Petrol,Individual,Manual,1.0,21.4,1197.0,83.1,115.0,5.0,Maruti,3,4000.0
625000,70000,Diesel,Individual,Automatic,2.0,11.79,2179.0,120.0,290.0,8.0,Mahindra,7,2300.0
400000,5000,Petrol,Individual,Manual,2.0,19.0,1194.0,94.68,120.0,5.0,Ford,1,4250.0
866000,37800,Petrol,Individual,Manual,1.0,17.0,1591.0,121.3,151.0,5.0,Hyundai,4,4850.0
700000,114000,Petrol,Individual,Manual,1.0,14.3,1798.0,160.0,190.0,5.0,Volkswagen,11,3500.0
300000,48000,Petrol,Individual,Manual,1.0,15.8,1172.0,65.0,96.0,5.0,Tata,11,3000.0
1700000,32000,Diesel,Individual,Manual,1.0,15.1,2179.0,155.0,360.0,7.0,Mahindra,2,2275.0
375000,100000,Diesel,Individual,Manual,1.0,19.09,1405.0,69.01,135.0,5.0,Tata,5,2500.0
522000,150000,Diesel,Individual,Manual,2.0,22.32,1582.0,126.32,259.8,5.0,Hyundai,8,2325.0
451999,69000,Diesel,Individual,Manual,1.0,21.9,1396.0,88.76,219.6,5.0,Hyundai,8,2125.0
300000,100000,Petrol,Individual,Manual,2.0,14.53,1798.0,138.1,173.0,5.0,Toyota,12,4000.0
475000,13000,Petrol,Individual,Manual,1.0,21.63,998.0,67.04,90.0,5.0,Maruti,1,3500.0
780000,60000,Diesel,Individual,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,5,1750.0
595000,40000,Petrol,Individual,Manual,1.0,20.85,1197.0,83.14,115.0,5.0,Maruti,4,4000.0
440000,35000,Petrol,Individual,Manual,1.0,20.51,998.0,67.04,90.0,5.0,Maruti,4,3500.0
300000,120000,Diesel,Individual,Manual,2.0,19.7,1248.0,74.0,190.0,5.0,Maruti,11,3500.0
400000,70000,Diesel,Individual,Manual,3.0,20.45,1461.0,83.8,200.0,5.0,Nissan,7,1900.0
1140000,50000,Diesel,Individual,Manual,1.0,19.67,1582.0,126.2,259.9,5.0,Hyundai,5,2325.0
850000,76139,Diesel,Individual,Manual,1.0,23.0,1498.0,98.96,205.0,5.0,Ford,4,2500.0
370000,175000,Diesel,Individual,Manual,4.0,19.3,1248.0,73.9,190.0,5.0,Maruti,9,2000.0
350000,25000,Petrol,Individual,Manual,1.0,23.01,999.0,67.0,91.0,5.0,Renault,3,4250.0
360000,40000,Petrol,Individual,Manual,2.0,23.1,998.0,67.04,90.0,5.0,Maruti,6,3500.0
105000,65000,Petrol,Individual,Manual,4.0,19.7,796.0,46.3,62.0,5.0,Maruti,13,3000.0
625000,90000,Diesel,Individual,Manual,2.0,20.77,1248.0,88.76,200.0,7.0,Maruti,8,1750.0
135000,80000,Petrol,Individual,Manual,2.0,17.92,1086.0,62.1,96.1,5.0,Hyundai,12,3000.0
700000,110000,Diesel,Individual,Manual,2.0,20.77,1248.0,88.76,200.0,7.0,Maruti,6,1750.0
690000,1303,Petrol,Dealer,Manual,1.0,17.8,1198.0,86.7,109.0,5.0,Honda,2,4500.0
3975000,31800,Diesel,Dealer,Automatic,1.0,17.01,1968.0,188.0,400.0,5.0,Audi,3,2375.0
5150000,20000,Petrol,Dealer,Automatic,1.0,22.37,2487.0,214.56,202.0,5.0,Lexus,2,4400.0
3200000,45000,Diesel,Dealer,Automatic,1.0,19.33,1999.0,177.0,430.0,5.0,Jaguar,4,2125.0
4100000,17000,Petrol,Individual,Automatic,1.0,9.5,3604.0,280.0,347.0,5.0,Jeep,4,4300.0
6000000,37000,Diesel,Dealer,Automatic,1.0,13.5,2987.0,254.79,620.0,5.0,Mercedes-Benz,4,2000.0
3790000,29500,Diesel,Dealer,Automatic,1.0,22.48,1995.0,187.74,400.0,5.0,BMW,3,2125.0
2150000,27000,Diesel,Dealer,Automatic,1.0,19.7,1248.0,74.0,190.0,5.0,BMW,4,3500.0
5800000,7500,Diesel,Dealer,Automatic,1.0,16.78,1995.0,190.0,400.0,5.0,BMW,2,2125.0
1864999,50000,Petrol,Dealer,Automatic,1.0,14.67,1798.0,177.46,250.0,5.0,Skoda,3,3125.0
2700000,35000,Diesel,Dealer,Automatic,1.0,15.0,2143.0,204.0,500.0,5.0,Mercedes-Benz,5,1700.0
795000,41000,Petrol,Dealer,Automatic,1.0,18.0,1497.0,117.6,145.0,5.0,Honda,4,4600.0
625000,39000,Petrol,Dealer,Automatic,1.0,14.28,1798.0,138.03,173.0,5.0,Toyota,8,4000.0
3400000,22000,Diesel,Dealer,Automatic,1.0,18.0,1969.0,190.0,190.0,5.0,Volvo,3,3500.0
2650000,53000,Diesel,Dealer,Automatic,1.0,12.07,2967.0,241.4,550.0,7.0,Audi,6,2250.0
535000,40000,Diesel,Dealer,Manual,1.0,26.21,1248.0,88.5,200.0,5.0,Maruti,6,1750.0
5850000,47000,Diesel,Dealer,Automatic,1.0,13.5,2987.0,282.0,490.0,5.0,Mercedes-Benz,4,1600.0
975000,72200,Petrol,Dealer,Automatic,2.0,10.8,2497.0,150.0,250.0,5.0,BMW,11,2750.0
805000,49900,Petrol,Dealer,Manual,1.0,16.3,1797.0,147.5,177.5,5.0,Hyundai,5,4700.0
2625000,9000,Diesel,Dealer,Automatic,1.0,13.6,1999.0,177.0,430.0,5.0,Jaguar,4,2125.0
811000,11000,Petrol,Dealer,Manual,1.0,17.0,1198.0,108.5,170.0,5.0,Tata,3,2875.0
375000,49000,Petrol,Individual,Manual,1.0,15.04,1598.0,103.6,153.0,5.0,Volkswagen,10,3800.0
550000,95000,Petrol,Individual,Manual,1.0,16.3,1797.0,147.5,177.5,5.0,Hyundai,9,4700.0
645000,11000,Petrol,Dealer,Automatic,1.0,14.3,1598.0,103.5,153.0,5.0,Skoda,5,3800.0
2550000,18000,Petrol,Dealer,Automatic,1.0,15.04,1991.0,183.0,300.0,5.0,Mercedes-Benz,3,2600.0
599000,46100,Petrol,Dealer,Manual,1.0,16.02,1373.0,93.7,130.0,7.0,Maruti,7,4000.0
2700000,16000,Petrol,Dealer,Automatic,1.0,14.74,1991.0,181.04,300.0,5.0,Mercedes-Benz,4,1300.0
875000,18000,Petrol,Dealer,Automatic,1.0,15.6,1497.0,116.3,146.0,5.0,Honda,4,4800.0
894999,9654,Petrol,Dealer,Automatic,1.0,19.56,1197.0,81.8,113.0,5.0,Toyota,2,4200.0
175000,11000,Petrol,Dealer,Manual,1.0,23.95,998.0,67.05,90.0,5.0,Maruti,10,3500.0
340000,24300,Petrol,Dealer,Manual,1.0,21.21,1197.0,81.8,113.0,5.0,Maruti,9,4200.0
1525000,42163,Diesel,Dealer,Automatic,2.0,11.36,2755.0,171.5,360.0,7.0,Toyota,5,2300.0
1025000,8000,Diesel,Dealer,Automatic,1.0,21.5,1497.0,108.5,260.0,5.0,Tata,3,2125.0
2150000,30000,Diesel,Dealer,Automatic,1.0,22.69,1995.0,190.0,400.0,5.0,BMW,5,2125.0
1900000,41000,Petrol,Dealer,Automatic,1.0,19.16,2494.0,157.7,213.0,5.0,Toyota,5,4500.0
2900000,12000,Diesel,Dealer,Automatic,1.0,18.12,1995.0,190.0,400.0,5.0,BMW,5,2125.0
450000,71000,Petrol,Dealer,Automatic,1.0,12.1,2362.0,164.7,224.0,5.0,Toyota,12,4000.0
850000,20000,Petrol,Individual,Manual,1.0,17.5,1373.0,91.1,130.0,7.0,Maruti,5,4000.0
300000,100000,Diesel,Individual,Manual,2.0,20.54,1598.0,103.6,250.0,5.0,Volkswagen,10,2000.0
575000,9500,Petrol,Individual,Manual,1.0,18.16,1196.0,86.8,112.0,5.0,Ford,3,4000.0
160000,120000,Diesel,Individual,Manual,1.0,20.0,1399.0,68.0,160.0,5.0,Ford,10,2000.0
515000,36600,Petrol,Individual,Manual,1.0,20.4,1197.0,81.8,113.0,5.0,Maruti,6,4200.0
390000,50000,Petrol,Individual,Automatic,2.0,20.51,998.0,67.0,90.0,5.0,Maruti,6,3500.0
550000,14000,Petrol,Individual,Manual,2.0,18.6,1197.0,81.83,114.7,5.0,Hyundai,5,4000.0
40000,40000,Petrol,Individual,Manual,2.0,16.1,796.0,37.0,59.0,4.0,Maruti,22,2500.0
220000,120000,Diesel,Individual,Manual,1.0,21.1,1248.0,73.9,113.0,5.0,Maruti,11,4500.0
425000,70000,Petrol,Individual,Manual,1.0,18.9,1197.0,82.0,114.0,5.0,Hyundai,6,4000.0
480000,13000,Petrol,Individual,Manual,1.0,19.44,999.0,75.0,95.0,5.0,Volkswagen,2,3650.0
400000,60000,Petrol,Individual,Manual,2.0,18.9,1197.0,82.0,114.0,5.0,Hyundai,7,4000.0
487000,35000,Petrol,Individual,Manual,1.0,19.1,1197.0,85.8,114.0,5.0,Maruti,7,4000.0
386000,44000,Petrol,Individual,Manual,2.0,19.1,1197.0,82.0,114.0,5.0,Hyundai,5,4000.0
100000,120000,Petrol,Individual,Manual,2.0,13.0,1493.0,100.0,128.5,5.0,Honda,16,4600.0
300000,60000,Diesel,Individual,Manual,1.0,21.43,1364.0,87.2,205.0,5.0,Toyota,11,2300.0
1750000,30000,Diesel,Individual,Manual,2.0,13.0,2982.0,168.5,343.0,7.0,Toyota,7,2400.0
450000,15000,Petrol,Individual,Manual,2.0,18.15,1198.0,82.0,115.0,6.0,Mahindra,5,3550.0
490000,90000,Diesel,Individual,Manual,1.0,22.95,1248.0,74.0,190.0,5.0,Tata,4,2375.0
345000,47000,Petrol,Individual,Manual,2.0,17.0,1497.0,118.0,146.0,5.0,Honda,12,4800.0
85000,90000,Petrol,Individual,Manual,1.0,17.3,993.0,60.0,78.0,5.0,Maruti,16,4500.0
215000,120600,Petrol,Individual,Manual,2.0,18.9,998.0,67.1,90.0,5.0,Maruti,11,3500.0
320000,100000,Petrol,Individual,Manual,3.0,16.2,1599.0,103.2,146.1,5.0,Hyundai,11,3000.0
459999,60000,Petrol,Individual,Manual,2.0,20.85,1197.0,83.14,115.0,5.0,Maruti,5,4000.0
65000,86000,Petrol,Individual,Manual,1.0,15.3,1341.0,83.0,115.0,5.0,Hyundai,16,3200.0
720000,5000,Petrol,Individual,Manual,1.0,18.6,1197.0,81.86,117.0,5.0,Hyundai,1,4000.0
800000,37000,Diesel,Individual,Manual,1.0,28.09,1248.0,88.5,200.0,5.0,Maruti,4,1750.0
520000,14000,Petrol,Individual,Manual,1.0,20.3,1199.0,84.0,114.0,5.0,Tata,2,3500.0
580000,70000,Diesel,Individual,Manual,1.0,20.77,1248.0,88.76,200.0,7.0,Maruti,6,1750.0
235000,120000,Diesel,Individual,Manual,1.0,19.7,1248.0,74.0,190.0,5.0,Toyota,9,3500.0
600000,50000,Petrol,Individual,Manual,1.0,17.4,1497.0,117.3,145.0,5.0,Honda,6,4600.0
290000,60000,Petrol,Individual,Manual,2.0,19.4,1198.0,86.8,109.0,5.0,Honda,7,4500.0
360000,50000,CNG,Individual,Manual,1.0,26.6,998.0,58.16,77.0,5.0,Maruti,5,3500.0
550000,50000,Petrol,Individual,Manual,1.0,20.85,1197.0,83.14,115.0,5.0,Maruti,4,4000.0
375000,70000,Petrol,Individual,Manual,1.0,18.5,1197.0,82.85,113.7,5.0,Hyundai,8,4000.0
40000,90000,Petrol,Individual,Manual,2.0,19.7,1248.0,74.0,190.0,5.0,Maruti,18,3500.0
420000,35000,Petrol,Individual,Automatic,1.0,20.51,998.0,67.0,90.0,5.0,Maruti,3,3500.0
550000,20000,Petrol,Individual,Manual,1.0,21.21,1197.0,81.8,113.0,5.0,Maruti,4,4200.0
270000,20000,Petrol,Individual,Manual,1.0,24.7,796.0,47.3,69.0,5.0,Maruti,3,3500.0
700000,7800,Petrol,Individual,Automatic,1.0,22.0,1197.0,81.8,113.0,5.0,Maruti,3,4200.0
500000,20000,Petrol,Individual,Manual,1.0,20.4,1197.0,81.8,113.0,5.0,Maruti,4,4200.0
1250000,15000,Diesel,Individual,Manual,1.0,17.6,2179.0,147.94,320.0,7.0,Tata,2,2250.0
320000,31377,Petrol,Individual,Manual,2.0,18.5,1197.0,82.85,113.7,5.0,Hyundai,8,4000.0
700000,50000,Diesel,Individual,Manual,1.0,28.4,1248.0,74.02,190.0,5.0,Maruti,3,2000.0
290000,60000,Petrol,Individual,Manual,1.0,20.51,998.0,67.04,90.0,5.0,Maruti,6,3500.0
550000,100000,Petrol,Individual,Automatic,1.0,14.53,1794.0,138.1,173.0,5.0,Toyota,9,4000.0
265000,60000,Petrol,Individual,Manual,1.0,19.4,1198.0,86.8,109.0,5.0,Honda,9,4500.0
830000,5000,Petrol,Individual,Automatic,1.0,21.4,1197.0,83.1,115.0,5.0,Maruti,3,4000.0
800000,60000,Diesel,Individual,Manual,1.0,14.1,2179.0,147.94,320.0,7.0,Tata,4,2250.0
160000,25000,Petrol,Individual,Manual,2.0,19.7,796.0,46.3,62.0,5.0,Maruti,10,3000.0
335000,30000,Petrol,Individual,Manual,1.0,25.17,799.0,53.3,72.0,5.0,Renault,3,4386.0
329000,80000,Petrol,Individual,Manual,2.0,20.63,1198.0,67.0,104.0,5.0,Datsun,4,4000.0
775000,75000,Diesel,Individual,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,4,1750.0
524000,32000,Petrol,Individual,Manual,1.0,20.14,1197.0,81.86,113.75,5.0,Hyundai,1,4000.0
245000,40000,Petrol,Individual,Manual,1.0,22.74,796.0,47.3,69.0,5.0,Maruti,6,3500.0
275000,93000,Petrol,Individual,Manual,2.0,17.0,1197.0,80.0,111.8,5.0,Hyundai,9,4000.0
520000,60000,Petrol,Individual,Manual,1.0,17.57,1193.0,88.7,140.0,5.0,Tata,3,2750.0
130000,120000,Petrol,Individual,Manual,2.0,19.7,1248.0,74.0,190.0,5.0,Maruti,13,3500.0
550000,37000,Petrol,Individual,Manual,1.0,16.95,1498.0,97.7,134.0,5.0,Nissan,7,4000.0
910000,15000,Petrol,Individual,Manual,1.0,17.0,1497.0,121.36,150.0,5.0,Ford,3,4500.0
300000,80000,Petrol,Individual,Manual,1.0,19.49,1198.0,67.04,104.0,5.0,Nissan,6,4000.0
350000,140000,Petrol,Individual,Manual,1.0,20.51,998.0,67.04,90.0,5.0,Maruti,5,3500.0
900000,70000,Diesel,Individual,Manual,1.0,12.83,2696.0,162.0,340.0,7.0,Mahindra,8,2525.0
300000,120000,Diesel,Individual,Manual,2.0,17.21,1493.0,100.0,240.0,7.0,Mahindra,8,2200.0
250000,110000,Diesel,Individual,Manual,2.0,21.1,1248.0,73.9,190.0,5.0,Maruti,11,2000.0
1100000,37000,Diesel,Individual,Manual,1.0,19.67,1582.0,126.2,259.9,5.0,Hyundai,4,2325.0
270000,44000,Petrol,Individual,Manual,1.0,25.17,799.0,53.3,72.0,5.0,Renault,5,4386.0
640000,80000,Diesel,Individual,Manual,1.0,20.77,1248.0,88.76,200.0,7.0,Maruti,6,1750.0
650000,125000,Diesel,Individual,Manual,1.0,15.1,2179.0,140.0,330.0,7.0,Mahindra,6,2200.0
409999,13500,Petrol,Individual,Manual,1.0,15.37,1196.0,73.0,101.0,5.0,Maruti,4,3000.0
165000,75000,Petrol,Individual,Manual,1.0,17.92,1086.0,62.1,96.1,5.0,Hyundai,10,3000.0
80000,120000,Petrol,Individual,Manual,2.0,13.2,1495.0,94.0,122.6,5.0,Hyundai,14,3500.0
535000,120000,Diesel,Individual,Manual,1.0,15.1,2179.0,140.0,330.0,7.0,Mahindra,9,2200.0
700000,70000,Diesel,Individual,Manual,1.0,12.99,2494.0,100.57,200.0,7.0,Toyota,8,2400.0
550000,70000,Diesel,Individual,Manual,1.0,23.4,1248.0,74.0,190.0,5.0,Maruti,8,2000.0
680000,15000,Petrol,Individual,Automatic,1.0,19.0,1199.0,88.76,110.0,5.0,Honda,2,4800.0
200000,53000,Petrol,Individual,Manual,2.0,20.36,1197.0,78.9,111.8,5.0,Hyundai,12,4000.0
500000,120000,Diesel,Individual,Manual,2.0,23.4,1248.0,74.0,190.0,5.0,Maruti,7,2000.0
